Semente,Gerações,Indivíduo_mais_apto,Adaptação,Índice_de_Convergência,alfa_0,e
0,0,G0_1,0.0,0.09701495844875352,10,0.1
0,300,G0_1,0.0,0.4722989030470874,10,0.1
1,300,G0_1,0.0,0.43666224930747655,10,0.1
0,1,Proj_1,0.0,1.0,10,0.1
1,3,Proj_2,0.0,1.0,10,0.1
0,10,Proj_2,0.0,1.0,10,0.1
0,10,Proj_2,0.0,0.6532963988919609,10,0.1
0,10,Proj_1,1.01269373728873,0.6532963988919609,10,0.1
0,11,Proj_12,0.0,1.0,10,0.1
0,40,Proj_9,1.1539548089471998,0.8829847645429342,10,0.1
0,30,Proj_9,1.1764065533128159,0.8253462603878078,10,0.1
0,300,Proj_86,1.2473006823874926,0.7502978836565103,10,0.1
1,300,Proj_63,1.203533922320387,0.8718257285318577,10,0.1
2,300,Proj_102,1.259705138270959,0.8634286094182846,10,0.1
3,300,Proj_85,1.2643376236756854,0.8636351468144061,10,0.1
5,300,Proj_67,1.289746337977849,0.8788269030470931,10,0.1
6,300,Proj_111,1.3789152024446143,0.8612852299168994,10,0.1
7,300,Proj_102,1.1764705882352944,0.8784742825484799,10,0.1
8,300,Proj_46,1.1765664466715555,0.8678568421052658,10,0.1
9,300,Proj_13,1.2957645369705673,0.8799734072022186,10,0.1
10,300,Proj_21,1.1539998401662275,0.8648185263157905,10,0.1
